event_id,match_id,player_id,event_type,minute,match_date,home_team,away_team,home_score,away_score
EV00001,M00001,JA010,yellow_card,85,2024-12-24,Ipswich Town,Aston Villa,2,0
EV00002,M00001,LE002,substitution,57,2024-12-24,Ipswich Town,Aston Villa,2,0
EV00003,M00001,Wal001,assist,43,2024-12-24,Ipswich Town,Aston Villa,2,0
EV00004,M00001,CA004,assist,36,2024-12-24,Ipswich Town,Aston Villa,2,0
EV00005,M00001,TR002,substitution,41,2024-12-24,Ipswich Town,Aston Villa,2,0
EV00006,M00001,NE002,substitution,46,2024-12-24,Ipswich Town,Aston Villa,2,0
EV00007,M00001,JA010,assist,17,2024-12-24,Ipswich Town,Aston Villa,2,0
EV00008,M00001,TR002,goal,52,2024-12-24,Ipswich Town,Aston Villa,2,0
EV00009,M00002,PA005,yellow_card,70,2024-12-04,Bournemouth,Luton Town,0,4
EV00010,M00002,DO002,substitution,90,2024-12-04,Bournemouth,Luton Town,0,4
EV00011,M00002,MI001,red_card,18,2024-12-04,Bournemouth,Luton Town,0,4
EV00012,M00002,TY001,assist,32,2024-12-04,Bournemouth,Luton Town,0,4
EV00013,M00002,JA003,assist,52,2024-12-04,Bournemouth,Luton Town,0,4
EV00014,M00002,RO005,goal,49,2024-12-04,Bournemouth,Luton Town,0,4
EV00015,M00002,PA005,yellow_card,87,2024-12-04,Bournemouth,Luton Town,0,4
EV00016,M00002,RO005,yellow_card,33,2024-12-04,Bournemouth,Luton Town,0,4
EV00017,M00002,EM001,assist,22,2024-12-04,Bournemouth,Luton Town,0,4
EV00018,M00002,RY002,yellow_card,48,2024-12-04,Bournemouth,Luton Town,0,4
EV00019,M00003,WI003,red_card,15,2024-09-16,Leicester City,Brighton,2,4
EV00020,M00003,SI001,red_card,27,2024-09-16,Leicester City,Brighton,2,4
EV00021,M00003,WI003,yellow_card,41,2024-09-16,Leicester City,Brighton,2,4
EV00022,M00003,JA011,substitution,25,2024-09-16,Leicester City,Brighton,2,4
EV00023,M00003,JA011,red_card,79,2024-09-16,Leicester City,Brighton,2,4
EV00024,M00003,CO002,substitution,56,2024-09-16,Leicester City,Brighton,2,4
EV00025,M00003,DO003,goal,82,2024-09-16,Leicester City,Brighton,2,4
EV00026,M00003,PE001,assist,2,2024-09-16,Leicester City,Brighton,2,4
EV00027,M00004,AL003,yellow_card,60,2024-12-05,West Ham,Brighton,3,1
EV00028,M00004,MU002,red_card,58,2024-12-05,West Ham,Brighton,3,1
EV00029,M00004,WE001,goal,61,2024-12-05,West Ham,Brighton,3,1
EV00030,M00004,LU002,substitution,1,2024-12-05,West Ham,Brighton,3,1
EV00031,M00004,JA007,substitution,21,2024-12-05,West Ham,Brighton,3,1
EV00032,M00004,MU002,yellow_card,89,2024-12-05,West Ham,Brighton,3,1
EV00033,M00004,RO004,assist,74,2024-12-05,West Ham,Brighton,3,1
EV00034,M00004,AL003,goal,54,2024-12-05,West Ham,Brighton,3,1
EV00035,M00004,PA003,goal,28,2024-12-05,West Ham,Brighton,3,1
EV00036,M00004,AL003,substitution,53,2024-12-05,West Ham,Brighton,3,1
EV00037,M00005,KA001,goal,60,2024-09-26,Manchester City,Leicester City,4,0
EV00038,M00005,HU002,assist,14,2024-09-26,Manchester City,Leicester City,4,0
EV00039,M00005,HU002,red_card,12,2024-09-26,Manchester City,Leicester City,4,0
EV00040,M00005,JA001,substitution,22,2024-09-26,Manchester City,Leicester City,4,0
EV00041,M00005,ED001,yellow_card,22,2024-09-26,Manchester City,Leicester City,4,0
EV00042,M00005,JA001,yellow_card,79,2024-09-26,Manchester City,Leicester City,4,0
EV00043,M00005,RIC001,yellow_card,21,2024-09-26,Manchester City,Leicester City,4,0
EV00044,M00005,JU001,goal,45,2024-09-26,Manchester City,Leicester City,4,0
EV00045,M00005,JA001,goal,30,2024-09-26,Manchester City,Leicester City,4,0
EV00046,M00006,Wal001,red_card,34,2025-02-03,Everton,Ipswich Town,4,4
EV00047,M00006,JA008,goal,5,2025-02-03,Everton,Ipswich Town,4,4
EV00048,M00006,PE002,yellow_card,87,2025-02-03,Everton,Ipswich Town,4,4
EV00049,M00006,JA010,assist,66,2025-02-03,Everton,Ipswich Town,4,4
EV00050,M00006,DA004,red_card,28,2025-02-03,Everton,Ipswich Town,4,4
EV00051,M00006,Wal001,goal,70,2025-02-03,Everton,Ipswich Town,4,4
EV00052,M00006,LE002,red_card,48,2025-02-03,Everton,Ipswich Town,4,4
EV00053,M00006,LE002,assist,22,2025-02-03,Everton,Ipswich Town,4,4
EV00054,M00006,NI002,substitution,74,2025-02-03,Everton,Ipswich Town,4,4
EV00055,M00006,LE002,goal,15,2025-02-03,Everton,Ipswich Town,4,4
EV00056,M00007,JA010,assist,52,2025-04-28,Ipswich Town,Aston Villa,0,4
EV00057,M00007,OL001,yellow_card,70,2025-04-28,Ipswich Town,Aston Villa,0,4
EV00058,M00007,AL005,substitution,18,2025-04-28,Ipswich Town,Aston Villa,0,4
EV00059,M00007,LE001,yellow_card,29,2025-04-28,Ipswich Town,Aston Villa,0,4
EV00060,M00007,AL005,substitution,59,2025-04-28,Ipswich Town,Aston Villa,0,4
EV00061,M00007,JA004,red_card,63,2025-04-28,Ipswich Town,Aston Villa,0,4
EV00062,M00007,AL005,red_card,28,2025-04-28,Ipswich Town,Aston Villa,0,4
EV00063,M00007,EM002,yellow_card,55,2025-04-28,Ipswich Town,Aston Villa,0,4
EV00064,M00007,Wal001,goal,33,2025-04-28,Ipswich Town,Aston Villa,0,4
EV00065,M00007,JA004,yellow_card,37,2025-04-28,Ipswich Town,Aston Villa,0,4
EV00066,M00007,DI001,yellow_card,80,2025-04-28,Ipswich Town,Aston Villa,0,4
EV00067,M00007,LE001,goal,72,2025-04-28,Ipswich Town,Aston Villa,0,4
EV00068,M00008,MA008,yellow_card,50,2024-09-03,Fulham,Southampton,4,4
EV00069,M00008,GO001,substitution,51,2024-09-03,Fulham,Southampton,4,4
EV00070,M00008,WI001,assist,80,2024-09-03,Fulham,Southampton,4,4
EV00071,M00008,WI001,yellow_card,19,2024-09-03,Fulham,Southampton,4,4
EV00072,M00008,WI001,substitution,43,2024-09-03,Fulham,Southampton,4,4
EV00073,M00008,RA001,substitution,45,2024-09-03,Fulham,Southampton,4,4
